year month SPO_NOAA_insitu SPO_NOAA_flask SPO_SIO_O2_flask SPO_SIO_CDK_flask SPO_CSIRO_flask HBA_NOAA_flask SYO_NOAA_flask SYO_TU_insitu MAA_CSIRO_flask CYA_CSIRO_flask PSA_NOAA_flask PSA_SIO_O2_flask DRP_NOAA_flask MQA_CSIRO_flask CRZ_NOAA_flask BHD_NIWA_insitu CGO_NOAA_flask CGO_SIO_O2_flask CGO_CSIRO_flask AMS_LSCE_insitu CPT_SAWS_insitu
1957 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 6 NA NA NA 313.772 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1957 12 NA NA NA 314.6228 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 3 NA NA NA 314.3317 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 6 NA NA NA 314.3258 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 9 NA NA NA 315.4198 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1958 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 1 NA NA NA 315.5916 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 2 NA NA NA 315.5411 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 3 NA NA NA 315.2249 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 8 NA NA NA 315.7386 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 9 NA NA NA 315.831 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 11 NA NA NA 315.8639 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1959 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 6 NA NA NA 314.8753 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 7 NA NA NA 315.0197 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 8 NA NA NA 315.3835 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1960 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 5 NA NA NA 314.8981 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 6 NA NA NA 315.0532 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 7 NA NA NA 315.3558 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 8 NA NA NA 315.7569 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 9 NA NA NA 315.9458 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 10 NA NA NA 316.0655 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 11 NA NA NA 316.0594 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1961 12 NA NA NA 316.0413 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 1 NA NA NA 315.9621 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 2 NA NA NA 315.8054 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 3 NA NA NA 315.5711 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 4 NA NA NA 315.2922 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 5 NA NA NA 315.1479 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 6 NA NA NA 315.2809 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 7 NA NA NA 315.3988 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 8 NA NA NA 315.6408 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 9 NA NA NA 315.7682 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1962 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 1 NA NA NA 315.6836 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 2 NA NA NA 315.4886 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 3 NA NA NA 315.2523 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 4 NA NA NA 314.9346 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 5 NA NA NA 314.7554 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 6 NA NA NA 314.7816 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 7 NA NA NA 315.0632 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 8 NA NA NA 315.1381 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 9 NA NA NA 315.3091 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 10 NA NA NA 315.2632 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1963 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1964 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1965 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
1965 2 NA NA NA 314.6625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
